,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other **,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Other**,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2009,Subsequently Confirmed Victims in Fiscal Years 2009 - 2014,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services,Child PopulationAges 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**,CBFS***
185,PECOS,009,875,2072,45,43,36,28,0,0,0,3967,19,604,3302,8,34,150,108,1,94,27,28.7%,59,8,0,67,71.3%,,,,153,103,92,32,121,6,3967,47,11.8,94,27,28.7%,,,,13,27,4,14.8%,61,24,27,6.8,10,15,9,15,,,,,,,,,,,,,,,22,0,10,1,1,1,10,0,0,0,15,175734,7,"$2,852.54",24,5,$829.37,39,3173,4,299,2,24,1,1,3967,0,1,0,0,0,1,1,18,0,0,18,,,
186,POLK,005,6619,9886,337,261,158,143,1,1,0,9774,1017,6143,2077,242,295,618,530,7,442,93,21.0%,313,33,3,349,79.0%,,,,724,550,494,92,632,44,9774,170,17.4,442,93,21.0%,,,,35,92,8,8.7%,117,28,128,13.1,58,76,48,78,,,,,,,,,,,,,,,109,0,64,1,13,11,29,0,3,1,78,796603,62,"$51,918.08",124,28,"$2,929.95",159,7519,8,862,1,12,2,1,9774,0,18,0,0,0,18,85,58,0,11,69,,,
187,POTTER,001,8356,14411,950,847,654,526,28,24,5,34841,3203,11287,17505,124,2722,2182,1904,35,1456,434,29.8%,836,146,40,1022,70.2%,,,,2482,1633,1327,571,1911,127,34841,794,22.8,1456,434,29.8%,,,,362,927,29,3.1%,544,119,435,12.5,153,92,343,368,,,,,,,,,,,,,,,330,0,207,20,41,55,62,0,10,1,367,5855415,524,"$463,846.32",435,475,"$56,899.26",967,27857,41,4317,0,0,36,21,34841,7,47,1,0,0,55,156,155,680,14,849,,,
188,PRESIDIO,010,971,1604,37,23,17,12,0,0,0,2215,10,188,1971,3,43,24,24,1,16,5,31.3%,9,1,1,11,68.8%,,,,28,21,18,6,22,1,2215,5,2.3,16,5,31.3%,,,,3,4,0,0.0%,10,0,9,4.1,1,3,4,4,,,,,,,,,,,,,,,7,0,1,0,2,1,3,0,0,0,4,7319,0,$0.00,7,0,$0.00,9,1646,0,0,0,0,9,2,2215,0,0,0,0,0,0,0,21,0,0,21,,,
189,RAINS,004,1101,2834,43,38,23,13,0,0,0,2379,45,1887,371,25,51,124,108,0,83,19,22.9%,55,7,2,64,77.1%,,,,124,99,84,19,105,12,2379,22,9.2,83,19,22.9%,,,,9,24,0,0.0%,33,7,22,9.2,14,9,13,14,,,,,,,,,,,,,,,18,0,14,1,1,0,5,0,0,0,14,185155,10,"$16,794.04",22,12,"$1,170.56",28,1686,3,139,0,0,0,0,2379,0,4,0,0,0,4,12,18,0,0,18,,,
190,RANDALL,001,6268,17505,489,443,318,227,101,97,32,32138,960,20823,8896,136,1323,1056,913,0,808,223,27.6%,487,84,14,585,72.4%,,,,1229,840,691,208,1021,58,32138,360,11.2,808,223,27.6%,,,,156,366,16,4.4%,254,64,280,8.7,67,101,168,204,,,,,,,,,,,,,,,207,0,95,7,29,30,73,1,30,4,199,3199548,215,"$148,645.35",269,90,"$9,063.03",423,24715,44,4535,4,48,57,43,32138,2,100,4,0,0,106,439,59,5,8,72,,,
191,REAGAN,009,139,447,12,8,6,6,0,0,0,1004,9,201,782,0,12,22,20,0,21,2,9.5%,18,1,0,19,90.5%,,,,38,36,33,4,34,0,1004,2,2.0,21,2,9.5%,,,,2,6,0,0.0%,19,4,2,2.0,2,0,2,2,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,0,0,2,1777,4,"$5,281.38",2,0,$0.00,6,765,2,120,0,0,3,0,1004,0,2,0,0,0,2,3,2,0,0,2,,,
192,REAL,008,154,1021,14,11,9,6,0,0,0,595,3,323,258,5,6,29,23,0,24,2,8.3%,21,1,0,22,91.7%,,,,41,38,35,6,35,5,595,3,5.0,24,2,8.3%,,,,3,7,0,0.0%,1,0,20,33.6,5,15,5,7,,,,,,,,,,,,,,,13,0,5,0,3,1,8,0,0,0,7,118063,0,$0.00,20,4,"$1,566.80",12,444,2,77,0,0,0,0,595,0,0,0,0,0,0,0,2,0,0,2,,,
193,RED RIVER,004,1589,3012,74,56,33,25,0,0,0,2700,492,1735,369,17,87,154,116,1,107,28,26.2%,71,3,5,79,73.8%,,,,180,132,116,32,148,13,2700,45,16.7,107,28,26.2%,,,,15,38,6,15.8%,58,14,33,12.2,20,21,10,19,,,,,,,,,,,,,,,31,0,20,1,2,0,14,0,0,1,19,121048,23,"$20,281.50",31,12,"$1,558.30",35,2074,1,72,3,36,4,0,2700,0,3,0,0,0,3,5,8,0,0,8,,,
194,REEVES,009,1376,1844,81,61,49,32,1,1,1,3126,45,290,2743,3,45,105,73,1,69,20,29.0%,39,10,0,49,71.0%,,,,119,82,66,19,100,7,3126,29,9.3,69,20,29.0%,,,,8,23,0,0.0%,57,11,17,5.4,7,1,16,17,,,,,,,,,,,,,,,8,0,7,0,1,0,0,0,0,0,16,267320,2,"$1,493.00",17,3,$220.14,31,2469,2,144,2,24,2,0,3126,0,2,0,0,0,2,3,13,0,0,13,,,
195,REFUGIO,011,840,1600,32,29,15,16,0,0,0,1710,94,549,1041,0,26,83,75,0,53,20,37.7%,32,1,0,33,62.3%,,,,87,58,57,28,59,7,1710,27,15.8,53,20,37.7%,,,,18,58,1,1.7%,41,3,16,9.4,10,8,7,10,,,,,,,,,,,,,,,16,0,10,1,2,0,4,0,0,1,10,60874,7,"$3,931.75",15,4,"$1,103.88",52,1307,3,115,0,0,4,2,1710,0,4,0,0,0,4,15,18,0,0,18,,,
196,ROBERTS,001,49,190,0,0,0,0,0,0,0,241,0,213,27,0,1,5,5,0,4,0,0.0%,4,0,0,4,100.0%,,,,6,6,6,0,6,0,241,0,0.0,4,0,0.0%,,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,1,$84.00,0,177,0,0,0,0,1,0,241,0,0,0,0,0,0,0,0,0,0,0,,,
197,ROBERTSON,007,1636,3223,82,71,48,33,0,0,0,4243,948,1950,1240,10,95,143,128,1,99,17,17.2%,73,9,0,82,82.8%,,,,149,123,110,13,136,7,4243,24,5.7,99,17,17.2%,,,,8,18,0,0.0%,36,5,27,6.4,6,16,8,18,,,,,,,,,,,,,,,20,0,6,3,7,1,8,0,1,1,19,260760,9,"$4,611.36",24,3,$674.37,27,3228,3,279,3,36,3,1,4243,0,3,0,0,0,3,11,59,0,7,66,,,
198,ROCKWALL,003,3640,10357,146,119,81,55,8,4,0,26244,1625,17165,5950,114,1390,510,438,3,305,58,19.0%,198,46,3,247,81.0%,,,,485,379,295,60,425,8,26244,95,3.6,305,58,19.0%,,,,30,75,3,4.0%,67,6,37,1.4,11,20,16,21,,,,,,,,,,,,,,,35,0,11,1,8,13,6,0,4,0,23,257568,64,"$28,174.21",36,4,$453.25,80,18950,25,3727,5,60,23,1,26244,0,30,0,0,0,30,80,84,0,20,104,,,
199,RUNNELS,002,524,2188,92,81,65,56,0,0,0,2576,38,1276,1231,8,23,130,104,0,75,19,25.3%,54,1,1,56,74.7%,,,,126,92,90,31,95,10,2576,29,11.3,75,19,25.3%,,,,16,50,4,8.0%,46,16,37,14.4,14,22,16,23,,,,,,,,,,,,,,,26,0,14,2,0,1,10,0,0,1,24,278370,2,"$4,524.43",38,0,$0.00,59,1936,3,102,3,36,3,3,2576,0,6,0,0,0,6,14,13,0,0,13,,,
200,RUSK,004,4584,8533,196,146,88,75,1,2,0,12988,1884,7329,3261,57,457,499,452,5,349,108,30.9%,209,29,3,241,69.1%,,,,601,398,345,109,492,71,12988,190,14.6,349,108,30.9%,,,,33,82,3,3.7%,92,18,159,12.2,84,100,54,76,,,,,,,,,,,,,,,142,0,85,3,3,2,64,2,6,4,76,588243,46,"$32,936.10",154,37,"$3,079.55",135,10030,12,911,4,48,4,0,12988,0,22,0,0,0,22,67,69,0,23,92,,,
201,SABINE,005,1169,3351,76,71,42,42,1,1,1,2022,177,1626,145,6,68,78,63,1,76,13,17.1%,44,18,1,63,82.9%,,,,135,110,70,26,109,1,2022,25,12.4,76,13,17.1%,,,,17,45,9,20.0%,6,1,9,4.5,7,7,1,4,,,,,,,,,,,,,,,9,0,8,0,1,0,2,0,1,0,5,21530,2,"$3,521.15",8,3,$81.00,44,1514,1,100,0,0,0,0,2022,0,2,0,0,0,2,7,2,0,0,2,,,
202,SAN AUGUSTINE,005,1313,2320,97,86,64,55,9,8,4,1810,487,1047,234,2,40,77,64,0,56,11,19.6%,33,12,0,45,80.4%,,,,86,70,45,11,75,2,1810,14,7.7,56,11,19.6%,,,,8,18,1,5.6%,7,1,11,6.1,3,4,7,11,,,,,,,,,,,,,,,5,0,3,1,1,0,1,0,2,0,11,119087,7,"$1,875.69",11,3,$217.00,28,1386,2,86,0,0,0,0,1810,0,8,0,0,0,8,30,33,0,13,46,,,
203,SAN JACINTO,005,2427,5569,241,186,139,125,0,0,0,6435,657,4252,1317,16,193,347,287,1,274,51,18.6%,195,22,6,223,81.4%,,,,426,335,291,37,389,7,6435,81,12.6,274,51,18.6%,,,,20,51,7,13.7%,46,9,49,7.6,11,22,26,34,,,,,,,,,,,,,,,39,0,11,0,7,4,20,0,1,0,32,403387,25,"$12,943.39",48,20,"$2,156.88",73,4765,4,236,0,0,0,0,6435,0,7,0,0,0,7,11,27,0,0,27,,,
204,SAN PATRICIO,011,6011,9572,395,291,163,127,12,10,1,17858,203,5385,11822,37,411,1024,906,12,752,198,26.3%,509,33,12,554,73.7%,,,,1350,957,875,327,1023,66,17858,357,20.0,752,198,26.3%,,,,222,587,27,4.6%,497,107,165,9.2,81,98,65,114,,,,,,,,,,,,,,,153,0,82,11,32,13,42,0,1,2,118,1407653,126,"$107,958.17",163,65,"$11,915.87",589,13831,27,1869,4,44,17,1,17858,0,22,2,0,1,25,181,290,0,2,292,,,
205,SAN SABA,007,716,1340,26,25,22,18,0,0,0,1212,5,656,534,8,9,92,86,0,58,22,37.9%,30,6,0,36,62.1%,,,,112,63,51,41,71,26,1212,47,38.8,58,22,37.9%,,,,9,20,4,20.0%,25,6,36,29.7,27,25,11,10,,,,,,,,,,,,,,,33,0,29,0,2,1,3,0,0,0,10,190525,16,"$30,326.26",36,4,$909.06,23,930,1,31,1,12,1,2,1212,2,6,1,0,0,9,89,12,0,0,12,,,
206,SCHLEICHER,009,194,569,15,10,9,6,0,0,0,1132,12,582,532,0,6,42,38,0,24,6,25.0%,17,1,0,18,75.0%,,,,56,28,25,24,32,7,1132,23,20.3,24,6,25.0%,,,,8,26,0,0.0%,404,3,13,11.5,1,8,5,10,,,,,,,,,,,,,,,4,0,1,0,0,0,4,0,1,0,10,138596,3,$570.00,13,2,$688.29,33,893,1,20,1,12,1,0,1132,0,1,0,0,0,1,3,2,0,0,2,,,
207,SCURRY,002,1186,2593,88,72,50,32,0,0,0,4460,93,1895,2375,6,91,240,211,0,186,47,25.3%,122,14,3,139,74.7%,,,,294,210,184,57,237,4,4460,75,16.8,186,47,25.3%,,,,37,100,3,3.0%,95,25,28,6.3,9,11,15,19,,,,,,,,,,,,,,,22,0,9,1,4,2,10,0,1,0,19,234503,16,"$14,461.58",26,8,"$1,015.76",103,3513,4,374,0,0,4,2,4460,0,3,0,0,0,3,9,63,0,29,92,,,
208,SHACKELFORD,002,235,686,32,27,22,18,0,0,0,803,6,659,117,0,21,46,39,0,26,8,30.8%,14,4,0,18,69.2%,,,,44,29,23,15,29,0,803,15,18.7,26,8,30.8%,,,,11,22,1,4.5%,10,2,1,1.2,1,1,0,0,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,$697.43,1,0,$0.00,22,616,1,51,0,0,1,0,803,0,2,0,0,0,2,6,0,0,0,0,,,
209,SHELBY,005,2965,4427,185,156,115,102,2,2,1,6856,1204,3616,1914,13,109,243,198,2,163,46,28.2%,97,19,1,117,71.8%,,,,280,190,160,65,215,22,6856,82,12.0,163,46,28.2%,,1,0,31,101,10,9.9%,23,2,66,9.6,34,37,29,48,,,,,,,,,,,,,,,55,0,34,1,13,6,8,0,0,1,46,444692,43,"$48,949.48",66,21,"$3,361.72",96,5392,3,172,1,12,2,3,6856,1,18,0,0,0,19,63,30,0,0,30,,,
210,SHERMAN,001,185,479,8,6,2,1,0,0,0,854,2,338,504,4,6,9,8,0,9,2,22.2%,7,0,0,7,77.8%,,,,21,19,19,1,20,0,854,2,2.3,9,2,22.2%,,,,2,5,0,0.0%,2,0,1,1.2,0,0,1,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,49913,0,$0.00,1,0,$0.00,5,652,1,51,0,0,1,1,854,0,0,0,0,0,0,0,2,0,1,3,,,
211,SMITH,004,15136,33286,1125,961,751,661,34,35,5,56163,10485,26695,16396,149,2438,1837,1546,20,1298,338,26.0%,815,122,23,960,74.0%,,,,2006,1431,1209,403,1603,112,56163,533,9.5,1298,338,26.0%,,3,0,256,637,55,8.6%,238,30,485,8.6,168,232,238,284,,,,,,,,,,,,,,,421,0,178,31,75,62,144,2,13,2,277,3161949,735,"$894,191.72",470,97,"$16,738.24",747,43865,90,9039,7,84,38,10,56163,11,112,3,0,3,129,568,311,0,0,311,,,
212,SOMERVELL,003,687,1529,30,28,20,17,0,0,0,2203,28,1425,672,10,68,74,65,0,53,12,22.6%,32,8,1,41,77.4%,,,,81,61,50,18,63,2,2203,20,9.1,53,12,22.6%,,,,17,34,0,0.0%,14,4,16,7.3,2,7,9,14,,,,,,,,,,,,,,,13,0,2,1,4,0,6,0,0,0,12,156395,22,"$20,555.49",16,0,$0.00,38,1574,3,68,1,12,4,2,2203,0,4,0,0,0,4,9,3,0,0,3,,,
213,STARR,011,6645,7314,222,208,131,120,9,5,0,20650,2,744,19860,5,39,421,380,7,299,97,32.4%,165,33,4,202,67.6%,,,,528,343,275,183,345,24,20650,167,8.1,299,97,32.4%,,,,114,344,15,4.4%,239,50,106,5.1,30,42,66,87,,,,,,,,,,,,,,,73,0,28,2,3,8,40,0,2,1,89,907480,57,"$40,158.00",108,46,"$10,922.78",337,15956,37,2290,4,48,6,10,20650,0,8,0,0,0,8,40,114,0,0,114,,,
214,STEPHENS,002,757,1881,105,84,74,53,3,0,0,2265,35,1425,760,10,35,115,103,1,76,22,28.9%,51,3,0,54,71.1%,,,,135,98,90,27,108,1,2265,33,14.6,76,22,28.9%,,,,22,50,0,0.0%,43,9,21,9.3,3,8,13,16,,,,,,,,,,,,,,,18,0,4,0,11,0,3,0,0,0,15,258879,2,$427.35,21,4,$644.28,52,1745,1,152,1,12,2,3,2265,0,1,0,0,0,1,2,0,0,0,0,,,
215,STERLING,009,53,237,2,3,3,2,0,0,0,277,3,156,105,5,8,11,8,0,11,4,36.4%,6,1,0,7,63.6%,,,,21,17,15,2,19,0,277,4,14.4,11,4,36.4%,,,,3,7,0,0.0%,2,0,4,14.4,0,4,0,0,,,,,,,,,,,,,,,4,0,0,0,0,0,4,0,0,0,0,0,1,"$4,400.00",4,1,$27.00,7,217,1,35,0,0,0,0,277,0,1,0,0,0,1,2,3,0,0,3,,,
216,STONEWALL,002,64,389,17,11,9,4,0,0,0,320,9,221,76,0,14,12,12,0,10,4,40.0%,6,0,0,6,60.0%,,,,12,6,6,6,6,0,320,6,18.8,10,4,40.0%,,,,7,18,0,0.0%,5,4,1,3.1,0,1,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,5,"$5,499.18",1,0,$0.00,18,249,0,0,1,12,1,0,320,0,2,0,0,0,2,8,1,0,0,1,,,
217,SUTTON,009,136,737,18,20,20,16,0,0,0,1112,0,319,786,0,7,30,27,0,17,2,11.8%,11,3,1,15,88.2%,,,,27,23,17,8,19,0,1112,4,3.6,17,2,11.8%,,,,7,21,0,0.0%,23,2,5,4.5,0,1,1,1,,,,,,,,,,,,,,,3,0,0,0,1,1,1,0,0,1,1,21783,1,$400.00,2,0,$0.00,25,846,1,43,0,0,1,1,1112,0,3,0,0,0,3,9,5,0,0,5,,,
218,SWISHER,001,557,1411,24,23,17,14,0,0,0,2025,120,746,1106,11,42,90,81,1,69,26,37.7%,38,5,0,43,62.3%,,,,124,82,74,28,96,5,2025,34,16.8,69,26,37.7%,,,,19,48,11,22.9%,17,5,23,11.4,16,16,7,12,,,,,,,,,,,,,,,18,0,16,0,2,0,0,0,2,0,12,217549,3,$918.29,23,8,$711.52,52,1585,2,200,0,0,2,0,2025,0,6,0,0,0,6,24,7,0,0,7,,,
219,TARRANT,003,110438,189456,5561,4421,2862,1672,502,447,53,529400,84549,195355,202907,1897,44692,18916,16741,198,13058,3731,28.6%,7132,1888,307,9327,71.4%,,,,21241,14391,10651,3461,17780,595,529400,6097,11.5,13058,3731,28.6%,,11,0,2070,5599,136,2.4%,4523,965,2104,4.0,673,586,1406,1661,,,,,,,,,,,,,,,1637,13,689,84,255,276,527,6,50,22,1621,21242876,1792,"$2,165,765.70",1992,559,"$145,187.14",5965,410804,650,74107,118,1412,447,619,529400,31,686,5,0,1,723,2158,1269,910,231,2410,,,
220,TAYLOR,002,10796,18823,1561,1225,905,662,364,339,55,33477,2702,17328,11591,99,1757,2316,1885,20,1579,530,33.6%,910,123,16,1049,66.4%,,,,2683,1691,1448,798,1885,131,33477,907,27.1,1579,530,33.6%,,1,0,435,1134,29,2.6%,527,134,361,10.8,135,140,207,276,,,,,,,,,,,,,,,271,0,146,13,25,24,96,0,6,0,273,3537070,350,"$540,116.25",347,109,"$15,321.81",1238,26818,49,5009,4,48,39,33,33477,7,90,4,0,0,101,358,350,0,94,444,,,
221,TERRELL,009,55,259,6,5,4,2,0,0,0,213,0,85,125,0,3,9,3,0,3,1,33.3%,1,1,0,2,66.7%,,,,3,2,1,1,2,0,213,1,4.7,3,1,33.3%,,,,1,1,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,"$2,531.27",0,0,$0.00,1,170,0,0,0,0,0,0,213,0,0,0,0,0,0,0,1,0,0,1,,,
222,TERRY,001,1227,1940,167,153,135,135,0,0,0,3378,100,1087,2150,7,34,151,136,2,128,50,39.1%,74,3,1,78,60.9%,,,,232,129,121,76,156,18,3378,100,29.6,128,50,39.1%,,1,0,40,124,13,10.5%,28,11,78,23.1,29,46,23,28,,,,,,,,,,,,,,,69,0,29,1,8,5,31,0,1,0,32,519357,9,"$2,232.87",69,2,$63.48,148,2653,1,100,3,36,1,1,3378,0,2,0,0,0,2,5,37,0,0,37,,,
223,THROCKMORTON,002,135,443,26,21,18,14,0,0,0,323,3,260,55,0,5,17,15,0,9,2,22.2%,6,1,0,7,77.8%,,,,14,11,7,3,11,0,323,3,9.3,9,2,22.2%,,,,3,6,0,0.0%,7,3,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,13589,3,"$2,660.39",0,0,$0.00,6,242,1,12,0,0,0,0,323,0,0,0,0,0,0,0,1,0,1,2,,,
224,TITUS,004,3461,4242,107,87,70,54,0,1,1,10095,764,3233,5821,45,232,271,225,3,176,31,17.6%,136,8,1,145,82.4%,,,,290,228,215,35,255,13,10095,55,5.4,176,31,17.6%,,,,15,39,3,7.7%,79,18,47,4.7,16,24,24,29,,,,,,,,,,,,,,,35,0,16,0,8,6,9,0,0,0,28,505441,46,"$30,753.46",48,40,"$4,277.40",41,7933,6,1065,0,0,0,1,10095,0,4,0,0,0,4,8,67,0,0,67,,,
225,TOM GREEN,009,7841,16743,1266,1007,810,681,1033,973,86,27232,838,11761,13675,84,874,1518,1366,15,1140,355,31.1%,666,102,17,785,68.9%,,,,1844,1212,1019,522,1322,157,27232,583,21.4,1140,355,31.1%,,1,0,268,686,49,7.1%,545,138,589,21.6,192,273,307,354,,,,,,,,,,,,,,,451,0,195,10,75,84,116,0,0,6,349,5290416,378,"$627,087.96",580,76,"$12,708.64",767,21490,53,5429,4,48,26,20,27232,4,36,3,0,0,43,220,268,0,65,333,,,
226,TRAVIS,007,57233,89958,4014,2645,1423,1198,1095,1014,162,274241,21830,98564,129034,594,24219,11797,10134,98,7151,1434,20.1%,5195,391,131,5717,79.9%,,,,11212,8685,7838,1033,10179,446,274241,2157,7.9,7151,1434,20.1%,,9,0,608,1585,141,8.9%,944,186,1617,5.9,631,838,704,961,,,,,,,,,,,,,,,1364,1,629,24,212,243,438,2,14,27,935,11387774,1740,"$3,479,942.68",1542,295,"$106,740.83",2199,222173,499,47477,63,752,207,148,274241,25,356,5,0,2,388,1133,731,1692,301,2724,,,
227,TRINITY,005,1733,3774,165,134,117,126,0,0,0,3000,321,2142,445,16,76,174,151,3,114,31,27.2%,76,6,1,83,72.8%,,,,189,135,123,14,175,10,3000,49,16.3,114,31,27.2%,,,,7,18,0,0.0%,26,7,41,13.7,10,16,17,24,,,,,,,,,,,,,,,32,0,10,2,1,6,15,1,1,1,24,165221,31,"$21,683.93",33,13,"$1,125.66",28,2274,4,213,0,0,0,0,3000,0,7,0,0,0,7,23,9,0,12,21,,,
228,TYLER,005,2496,4661,155,107,77,72,0,0,0,4170,389,3418,228,21,114,282,251,2,226,48,21.2%,161,15,2,178,78.8%,,,,390,293,266,50,340,13,4170,83,19.9,226,48,21.2%,,,,11,34,0,0.0%,27,5,30,7.2,14,15,15,22,,,,,,,,,,,,,,,30,0,15,3,1,0,13,1,4,1,22,194849,15,"$9,678.78",30,13,"$1,031.00",35,3152,6,342,3,36,0,0,4170,0,9,1,0,1,11,82,43,1,1,45,,,
229,UPSHUR,004,4723,7218,229,205,161,108,0,0,0,9982,827,7315,1328,51,461,483,422,7,340,73,21.5%,233,25,9,267,78.5%,,,,565,439,380,68,497,21,9982,108,10.8,340,73,21.5%,,,,42,112,7,6.3%,150,27,84,8.4,29,45,29,51,,,,,,,,,,,,,,,76,0,29,7,18,5,32,0,8,2,51,500173,54,"$61,665.71",74,47,"$4,896.16",124,7557,5,465,3,36,8,0,9982,0,21,0,0,0,21,88,76,0,0,76,,,
230,UPTON,009,278,588,24,23,13,12,1,1,0,963,12,343,591,11,6,37,30,0,25,4,16.0%,18,3,0,21,84.0%,,,,36,28,24,6,30,0,963,8,8.3,25,4,16.0%,,,,4,9,2,22.2%,11,4,8,8.3,2,3,5,6,,,,,,,,,,,,,,,5,0,2,0,0,0,3,0,0,0,6,100048,15,"$11,323.00",8,0,$0.00,12,732,1,20,0,0,0,0,963,0,1,0,0,0,1,2,2,0,0,2,,,
231,UVALDE,008,2206,4442,138,114,47,26,3,3,0,7748,32,1260,6357,21,78,323,279,4,239,51,21.3%,176,12,0,188,78.7%,,,,397,313,285,95,302,15,7748,79,10.2,239,51,21.3%,,,,41,116,15,12.9%,71,22,84,10.8,34,36,44,50,,,,,,,,,,,,,,,70,0,34,5,6,13,21,0,0,1,47,751520,21,"$15,500.80",80,11,"$1,405.65",132,5979,14,928,1,12,2,2,7748,0,5,0,0,0,5,14,74,0,0,74,,,
232,VAL VERDE,008,2508,6916,212,158,87,44,8,6,0,15133,134,1638,13163,23,175,313,264,3,192,31,16.1%,153,5,3,161,83.9%,,,,305,254,241,31,274,17,15133,48,3.2,192,31,16.1%,,,,15,43,1,2.3%,59,7,54,3.6,17,37,13,27,,,,,,,,,,,,,,,43,0,17,1,8,6,13,0,1,2,27,441871,13,"$10,906.00",50,2,$265.50,58,11862,15,1160,3,36,6,4,15133,1,10,0,0,0,11,22,448,0,12,460,,,
233,VAN ZANDT,004,5437,10961,322,242,149,116,1,1,0,12704,336,9687,2224,96,361,609,538,7,422,120,28.4%,253,35,14,302,71.6%,,,,727,514,425,141,586,66,12704,193,15.2,422,120,28.4%,,,,56,144,15,10.4%,168,51,191,15.0,83,79,106,128,,,,,,,,,,,,,,,153,0,84,0,20,20,44,0,11,4,127,1796357,45,"$62,713.36",185,46,"$5,619.64",164,9488,11,1084,4,48,3,2,12704,0,50,0,0,0,50,166,86,0,0,86,,,
234,VICTORIA,008,7568,13130,344,242,133,94,16,18,1,23319,1409,7598,13583,37,692,1058,845,9,714,174,24.4%,487,46,7,540,75.6%,,,,1164,848,759,182,982,28,23319,286,12.3,714,174,24.4%,,2,0,131,311,42,13.5%,303,84,255,10.9,72,112,133,168,,,,,,,,,,,,,,,174,0,72,21,20,21,54,1,7,1,168,2494304,72,"$50,888.29",245,50,"$8,796.19",331,18213,40,3209,20,238,17,12,23319,3,40,2,0,1,46,244,402,0,11,413,,,
235,WALKER,006,4256,7895,196,167,111,94,1,1,0,11681,2522,5436,3071,43,609,498,417,2,304,68,22.4%,194,35,7,236,77.6%,,,,481,365,295,98,383,26,11681,97,8.3,304,68,22.4%,,,,55,135,1,0.7%,96,9,89,7.6,26,41,35,45,,,,,,,,,,,,,,,75,0,24,6,8,2,40,1,2,0,41,642551,45,"$25,926.08",76,7,$296.46,160,9198,20,1894,0,0,12,2,11681,0,10,1,0,1,12,285,29,0,20,49,,,
