,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*,Intakes,Completed Investigations,Confirmed Investigations,Total,Hispanic,Anglo,African American,Asian,Other*,Native American,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Totals,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Families,Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2010,Subsequently Confirmed Victims in Fiscal Years 2010 - 2015,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***,Other *,Other**,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique  Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving  In-Home Services,Children Receiving In-Home Purchased Services,Children in Substitute Care,Children Receiving Sub-Care Purchased Services,Children in Foster Care,Children in Paid Foster Care,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity,TOTALS,STAR*,CYD*,SYSN*,TFTS,CBCAP,HOPES,CBFS,HIP
100,HARRIS,006,227695,414634,14348,10612,5826,2450,478,437,48,1198257,642510,250176,213408,60828,29218,2117,36032,29952,279,23459,3998,17.0%,16029,2463,969,19461,83.0%,23459,20406,2263,790,37176,29946,24466,5634,31542,1309,1198257,6360,5.3,23459,3998,17.0%,25,0,3965,12009,504,4.2%,7040,679,1198257,5910,4.9,1730,2430,3420,4040,,,,,,,,,,,,,,,,4479,0,1786,196,715,890,1228,6,70,50,11916,2240,5850,3057,4040,3925,937800,1577,185555,184,2186,722,1274,1198257,55,1232,20,3,19,1329,5082,3277,1119,1706,452,,,,,
101,HARRISON,004,4614,10615,277,212,140,55,1,1,1,17657,3941,9436,3547,121,522,90,755,643,6,544,152,27.9%,338,50,4,392,72.1%,544,470,41,33,909,635,552,131,778,51,17657,254,14.4,544,152,27.9%,,,61,174,20,11.5%,112,25,17657,164,9.3,65,67,89,104,,,,,,,,,,,,,,,,145,0,68,9,10,17,56,1,5,1,227,99,156,33,104,103,13559,15,1456,4,48,12,5,17657,0,28,2,0,0,30,198,187,146,0,41,,,,,
102,HARTLEY,001,174,823,14,12,8,4,0,0,0,1271,423,815,4,9,13,7,6,4,0,12,4,33.3%,4,3,1,8,66.7%,12,9,2,1,16,9,5,5,11,0,1271,7,5.5,12,4,33.3%,,,2,4,0,0.0%,3,0,1271,1,0.8,0,1,0,1,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,1,0,4,0,1,1,1,1,962,1,150,1,12,3,2,1271,0,1,0,0,0,1,3,1,1,0,0,,,,,
103,HASKELL,002,718,1356,59,36,29,13,0,0,0,1195,485,640,33,0,30,7,74,70,2,41,9,22.0%,21,8,3,32,78.0%,41,36,5,0,68,53,32,7,61,1,1195,12,10.0,41,9,22.0%,,,6,16,0,0.0%,5,1,1195,9,7.5,2,0,9,9,,,,,,,,,,,,,,,,6,0,2,0,0,4,0,0,0,0,14,3,9,2,9,9,931,2,95,0,0,0,0,1195,0,2,0,0,0,2,5,7,7,0,0,,,,,
104,HAYS,007,10696,19981,469,313,155,40,69,58,7,48859,23539,22193,1246,452,1286,143,1592,1171,12,1024,288,28.1%,628,93,15,736,71.9%,1024,887,69,68,1689,1168,978,264,1425,150,48859,465,9.5,1024,288,28.1%,,,109,305,21,6.9%,158,26,48859,310,6.3,167,203,99,144,,,,,,,,,,,,,,,,291,0,181,7,34,32,100,0,4,10,389,128,302,71,144,143,37278,81,6338,10,120,46,28,48859,4,82,1,0,3,90,506,328,270,0,58,,,,,
105,HEMPHILL,001,256,606,4,3,3,1,0,0,0,1166,501,649,0,0,10,6,21,15,0,13,4,30.8%,7,2,0,9,69.2%,13,10,1,2,27,18,13,8,19,6,1166,5,4.3,13,4,30.8%,,,5,16,1,6.3%,4,2,1166,18,15.4,7,3,15,18,,,,,,,,,,,,,,,,17,0,7,4,2,2,2,0,2,0,16,0,18,1,18,18,903,1,98,0,0,1,0,1166,0,3,0,0,0,3,10,2,2,0,0,,,,,
106,HENDERSON,004,7488,17270,565,432,280,161,3,7,0,18248,3964,12302,1202,99,590,91,1157,948,10,817,228,27.9%,457,114,18,589,72.1%,817,660,79,78,1337,936,716,281,1056,139,18248,373,20.4,817,228,27.9%,1,0,141,356,29,8.1%,274,61,18248,350,19.2,164,169,170,220,,,,,,,,,,,,,,,,289,0,160,10,44,25,82,0,13,4,491,237,339,113,220,214,13918,16,1703,2,24,11,0,18248,0,40,0,0,0,40,122,152,152,0,0,,,,,
107,HIDALGO,011,58752,91143,2973,2271,964,390,51,48,5,286544,273455,9232,725,2281,696,155,8764,7443,82,6127,1147,18.7%,4343,584,53,4980,81.3%,6127,4905,1117,105,10938,8432,7097,2726,8212,177,286544,2165,7.6,6127,1147,18.7%,,,1641,5585,203,3.6%,2385,470,286544,993,3.5,357,404,535,729,,,,,,,,,,,,,,,,836,0,481,58,45,13,388,0,12,5,5502,961,939,340,729,719,219116,397,29395,83,990,52,82,286544,9,170,2,0,0,181,793,2684,602,1750,332,,,,,
108,HILL,007,3223,7755,248,173,110,45,0,0,0,8698,2830,5055,543,15,222,33,460,417,4,314,73,23.2%,230,9,2,241,76.8%,314,279,15,20,503,363,340,69,434,42,8698,128,14.7,314,73,23.2%,,,25,72,5,6.9%,82,18,8698,121,13.9,39,72,49,62,,,,,,,,,,,,,,,,88,0,43,2,24,19,12,1,0,0,27,29,121,41,62,62,6675,12,597,2,24,7,2,8698,0,4,1,0,0,5,83,25,18,0,7,,,,,
109,HOCKLEY,001,1550,3379,169,152,100,31,18,17,5,6337,3721,2257,238,10,87,24,281,250,3,194,43,22.2%,133,11,7,151,77.8%,194,170,20,4,350,268,235,42,308,8,6337,73,11.5,194,43,22.2%,,,41,123,3,2.4%,76,15,6337,65,10.3,12,28,33,40,,,,,,,,,,,,,,,,52,0,11,4,14,16,11,0,1,0,162,41,61,37,40,40,4930,9,471,6,72,6,1,6337,0,16,0,0,2,18,114,37,37,0,0,,,,,
110,HOOD,003,3935,13924,263,197,142,99,7,7,0,11195,2267,8492,45,75,241,75,754,699,6,544,165,30.3%,321,53,5,379,69.7%,544,447,75,22,892,597,502,168,724,46,11195,277,24.7,544,165,30.3%,2,0,117,272,25,9.2%,199,64,11195,157,14.0,62,60,88,113,,,,,,,,,,,,,,,,124,0,67,0,19,19,27,0,0,0,253,46,148,53,113,108,8496,17,1232,6,72,5,5,11195,0,12,0,0,0,12,43,25,25,0,0,,,,,
111,HOPKINS,004,3226,6276,203,154,94,48,6,3,0,9231,2478,5621,613,64,396,59,476,415,6,347,77,22.2%,243,24,3,270,77.8%,347,302,18,27,563,419,374,89,474,42,9231,123,13.3,347,77,22.2%,,,25,62,6,9.7%,60,15,9231,104,11.3,50,54,46,62,,,,,,,,,,,,,,,,97,0,49,6,16,8,32,0,0,0,88,66,100,34,62,62,7160,11,1164,3,36,6,3,9231,1,14,0,0,0,15,24,0,0,0,0,,,,,
112,HOUSTON,005,2355,5269,156,118,102,84,0,0,0,4846,847,2510,1260,35,172,22,242,207,2,177,68,38.4%,101,8,0,109,61.6%,177,146,18,13,310,183,171,65,245,35,4846,120,24.8,177,68,38.4%,,,27,66,3,4.5%,42,8,4846,81,16.7,41,35,47,68,,,,,,,,,,,,,,,,64,0,43,2,5,1,16,0,1,0,79,23,82,20,68,68,3751,2,267,1,12,4,3,4846,0,5,0,0,0,5,19,11,3,0,8,,,,,
113,HOWARD,009,4138,5097,250,192,124,67,402,388,12,8039,4085,3304,360,45,191,54,421,369,2,297,75,25.3%,194,15,13,222,74.7%,297,240,43,14,483,349,305,107,376,18,8039,124,15.4,297,75,25.3%,,,67,185,10,5.4%,191,39,8039,136,16.9,24,72,61,91,,,,,,,,,,,,,,,,113,0,26,11,38,23,24,0,0,1,113,60,133,48,91,90,6194,10,999,1,12,7,2,8039,0,8,0,0,0,8,9,18,7,0,11,,,,,
114,HUDSPETH,010,528,646,14,11,6,6,0,0,0,947,840,90,5,0,11,1,27,21,0,11,2,18.2%,8,1,0,9,81.8%,11,11,0,0,20,18,17,0,20,0,947,2,2.1,11,2,18.2%,,,1,4,0,0.0%,0,0,947,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,716,2,51,0,0,1,0,947,0,0,0,0,0,0,0,1,1,0,0,,,,,
115,HUNT,003,8087,14640,610,459,338,118,26,16,4,22788,5705,13800,2056,189,854,184,1116,999,14,767,211,27.5%,415,124,17,556,72.5%,767,611,72,84,1309,913,675,300,1009,157,22788,357,15.7,767,211,27.5%,2,0,111,271,15,5.5%,140,37,22788,309,13.6,155,178,121,224,,,,,,,,,,,,,,,,294,0,156,2,60,44,110,0,9,1,248,59,299,211,224,214,17189,27,2556,6,70,20,8,22788,1,52,1,0,1,55,204,86,1,0,85,,,,,
116,HUTCHINSON,001,1682,3556,126,82,53,20,2,2,1,5748,1797,3565,105,22,186,73,332,283,4,179,62,34.6%,99,17,1,117,65.4%,179,140,30,9,325,206,173,84,241,16,5748,107,18.6,179,62,34.6%,1,0,47,118,10,8.5%,82,25,5748,64,11.1,24,16,44,49,,,,,,,,,,,,,,,,48,0,25,5,6,1,16,0,4,0,137,60,60,23,49,47,4460,5,289,3,36,8,1,5748,0,10,0,0,0,10,36,27,27,0,0,,,,,
117,IRION,009,70,382,4,4,3,0,0,0,0,324,117,199,1,0,5,2,17,15,0,5,0,0.0%,4,1,0,5,100.0%,5,5,0,0,9,9,7,0,9,0,324,0,0.0,5,0,0.0%,,,0,0,0,0.0%,5,0,324,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1,20,0,0,1,1,324,0,0,0,0,0,0,0,3,3,0,0,,,,,
118,JACK,002,1167,1557,77,50,38,17,0,0,0,1926,462,1418,19,2,25,0,115,100,0,79,32,40.5%,40,7,0,47,59.5%,79,61,12,6,141,81,66,35,106,10,1926,54,28.0,79,32,40.5%,,,19,49,7,14.3%,13,6,1926,31,16.1,17,20,10,17,,,,,,,,,,,,,,,,30,0,17,4,0,0,11,0,1,1,42,5,30,7,17,16,1425,3,160,0,0,1,1,1926,0,2,0,0,0,2,4,6,1,0,5,,,,,
119,JACKSON,008,974,2510,52,34,13,1,0,0,0,3555,1501,1739,256,9,43,7,116,83,0,79,16,20.3%,60,3,0,63,79.7%,79,62,14,3,131,106,99,26,105,3,3555,25,7.0,79,16,20.3%,,,20,54,0,0.0%,15,2,3555,17,4.8,5,10,7,12,,,,,,,,,,,,,,,,14,0,5,0,6,1,3,0,4,0,57,2,17,2,12,11,2772,6,377,6,72,10,1,3555,0,7,0,0,0,7,26,22,22,0,0,,,,,
120,JASPER,005,3826,6855,284,201,143,42,2,1,0,8747,814,5883,1642,49,302,57,431,361,6,292,78,26.7%,186,27,1,214,73.3%,292,245,23,24,510,374,321,80,430,39,8747,120,13.7,292,78,26.7%,,,28,67,8,11.9%,89,21,8747,76,8.7,47,31,43,53,,,,,,,,,,,,,,,,70,0,46,0,8,1,25,2,11,0,89,38,74,35,53,53,6832,9,885,2,24,4,3,8747,0,25,0,0,0,25,102,10,10,0,0,,,,,
121,JEFF DAVIS,010,290,728,11,12,8,4,0,0,0,403,202,193,1,0,7,0,14,10,0,6,1,16.7%,4,1,0,5,83.3%,6,3,3,0,11,9,7,5,6,0,403,1,2.5,6,1,16.7%,,,4,16,0,0.0%,4,0,403,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,315,0,0,0,0,2,0,403,0,0,0,0,1,1,84,1,1,0,0,,,,,
122,JEFFERSON,005,19602,34406,1715,1189,734,323,170,151,40,61839,17097,18460,22135,2407,1595,145,2685,2428,25,2062,441,21.4%,1398,183,40,1621,78.6%,2062,1919,69,74,3371,2591,2213,259,3112,119,61839,668,10.8,2062,441,21.4%,2,0,126,327,30,9.2%,209,36,61839,379,6.1,147,144,221,302,,,,,,,,,,,,,,,,325,0,148,1,78,63,74,5,36,3,376,184,365,262,302,299,48238,76,8227,9,102,33,22,61839,6,95,4,0,0,105,409,326,326,0,0,,,,,
123,JIM HOGG,011,523,989,25,15,8,1,0,0,0,1538,1463,59,4,0,2,10,55,50,0,54,15,27.8%,34,5,0,39,72.2%,54,41,13,0,93,67,58,30,63,0,1538,24,15.6,54,15,27.8%,,,17,43,1,2.3%,61,14,1538,7,4.6,1,1,6,2,,,,,,,,,,,,,,,,2,0,1,0,1,0,0,0,0,0,33,6,7,1,2,2,1215,3,193,0,0,4,2,1538,0,0,0,0,0,0,0,1,1,0,0,,,,,
124,JIM WELLS,011,3809,6328,237,169,91,30,1,1,0,12255,10489,1603,47,36,50,30,667,580,7,460,104,22.6%,323,22,11,356,77.4%,460,344,102,14,834,631,572,220,614,25,12255,162,13.2,460,104,22.6%,,,131,403,23,5.7%,295,54,12255,103,8.4,43,59,40,60,,,,,,,,,,,,,,,,81,0,44,2,18,7,15,0,1,2,376,69,99,35,60,59,9549,22,867,4,48,6,1,12255,0,8,0,0,0,8,24,119,119,0,0,,,,,
125,JOHNSON,003,9490,23371,571,408,264,117,53,52,11,43808,12790,28085,1111,198,1428,196,1996,1780,20,1405,406,28.9%,778,195,26,999,71.1%,1405,1082,245,78,2318,1548,1172,637,1681,124,43808,693,15.8,1405,406,28.9%,2,0,389,1039,54,5.2%,295,48,43808,437,10.0,175,118,302,366,,,,,,,,,,,,,,,,328,0,172,10,64,44,65,0,1,2,828,258,420,201,366,360,33019,35,4208,4,48,24,14,43808,0,72,0,0,0,72,217,129,127,0,2,,,,,
126,JONES,002,2509,3261,116,91,72,27,3,2,0,3786,1241,2245,173,16,103,8,325,285,0,162,42,25.9%,98,20,2,120,74.1%,162,139,15,8,280,198,163,45,235,5,3786,66,17.4,162,42,25.9%,,,32,88,3,3.4%,69,17,3786,22,5.8,7,10,10,14,,,,,,,,,,,,,,,,18,0,7,3,0,0,8,0,0,0,89,5,20,0,14,14,2821,2,68,2,24,5,5,3786,0,9,0,0,0,9,15,56,49,0,7,,,,,
127,KARNES,008,1859,2403,56,38,17,2,0,0,0,2924,1905,908,63,1,32,15,198,155,0,112,22,19.6%,80,5,5,90,80.4%,112,95,8,9,204,145,129,49,155,28,2924,53,18.1,112,22,19.6%,,,11,30,11,36.7%,19,2,2924,78,26.7,34,57,20,37,,,,,,,,,,,,,,,,63,0,34,7,19,8,13,0,0,2,48,4,77,30,37,36,2225,5,139,1,12,2,1,2924,0,3,0,0,0,3,4,8,8,0,0,,,,,
128,KAUFMAN,003,8340,14716,366,284,208,88,213,185,8,33503,9351,19470,3288,270,956,168,1131,1007,10,691,179,25.9%,406,90,16,512,74.1%,691,567,93,31,1133,807,644,234,899,46,33503,289,8.6,691,179,25.9%,2,0,120,343,3,0.9%,126,14,33503,142,4.2,46,61,76,87,,,,,,,,,,,,,,,,130,0,46,4,40,21,39,0,1,0,185,79,137,96,87,85,24680,33,4206,5,60,34,14,33503,0,56,1,0,0,57,200,111,110,0,1,,,,,
129,KENDALL,008,2320,7725,92,61,40,9,0,0,0,8482,2700,5529,30,56,146,21,233,175,2,164,32,19.5%,124,7,1,132,80.5%,164,149,11,4,227,181,171,25,202,4,8482,43,5.1,164,32,19.5%,,,18,51,6,11.8%,20,4,8482,33,3.9,7,14,18,22,,,,,,,,,,,,,,,,27,0,7,2,8,8,5,0,1,0,55,8,32,12,22,21,5937,11,1034,1,12,11,2,8482,1,32,1,0,1,35,166,68,68,0,0,,,,,
130,KENEDY,011,8,86,0,0,0,0,0,0,0,93,73,17,0,0,1,2,14,9,0,3,2,66.7%,1,0,0,1,33.3%,3,2,1,0,5,3,3,1,4,0,93,2,21.5,3,2,66.7%,,,1,1,0,0.0%,0,0,93,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67,0,0,0,0,0,0,93,0,0,0,0,0,0,0,1,1,0,0,,,,,
131,KENT,002,56,236,5,6,3,2,0,0,0,168,47,118,1,0,2,0,8,5,0,5,0,0.0%,3,2,0,5,100.0%,5,5,0,0,10,10,5,0,10,0,168,0,0.0,5,0,0.0%,,,0,0,0,0.0%,0,0,168,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,124,1,20,0,0,1,0,168,0,1,0,0,0,1,12,2,2,0,0,,,,,
132,KERR,008,4320,14445,301,199,87,28,56,53,12,10372,4483,5432,148,74,219,16,575,414,7,342,103,30.1%,215,23,1,239,69.9%,342,255,62,25,505,331,291,149,356,41,10372,151,14.6,342,103,30.1%,,,84,218,15,6.9%,155,36,10372,152,14.7,55,73,69,109,,,,,,,,,,,,,,,,127,0,53,5,38,17,35,0,0,0,260,54,142,52,109,108,7920,15,1265,2,24,12,2,10372,4,16,3,0,1,24,252,107,78,0,29,,,,,
133,KIMBLE,009,391,1313,25,13,13,6,0,0,0,902,360,533,3,1,5,0,58,46,0,34,9,26.5%,23,2,0,25,73.5%,34,29,4,1,64,49,45,9,55,1,902,13,14.4,34,9,26.5%,,,5,11,0,0.0%,9,7,902,20,22.2,2,3,12,14,,,,,,,,,,,,,,,,13,0,2,1,2,0,8,0,0,0,19,2,15,2,14,14,671,2,100,0,0,2,0,902,0,2,0,0,0,2,8,51,51,0,0,,,,,
134,KING,001,20,51,0,0,0,0,0,0,0,56,7,49,0,0,0,0,1,0,0,0,0,0.0%,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,56,0,0.0,0,0,0.0%,,,0,0,0,0.0%,0,0,56,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,56,0,0,0,0,0,0,0,5,5,0,0,,,,,
135,KINNEY,008,261,980,11,9,1,1,0,0,0,686,485,187,4,0,8,2,21,17,0,15,3,20.0%,11,0,1,12,80.0%,15,14,1,0,25,17,14,2,23,0,686,6,8.7,15,3,20.0%,,,1,2,0,0.0%,0,0,686,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,533,0,0,0,0,0,0,686,0,0,0,0,0,0,0,6,6,0,0,,,,,
136,KLEBERG,011,2564,4358,182,141,64,26,1,0,0,8693,6881,1310,254,141,99,8,357,307,5,269,50,18.6%,204,8,7,219,81.4%,269,217,45,7,480,375,341,108,372,14,8693,96,11.0,269,50,18.6%,,,73,203,13,6.4%,178,34,8693,86,9.9,27,43,38,57,,,,,,,,,,,,,,,,55,0,27,4,0,1,26,0,2,0,200,24,81,24,57,54,6913,13,666,2,24,3,2,8693,0,13,0,0,0,13,46,159,144,0,15,,,,,
137,KNOX,002,303,804,26,23,17,7,0,0,0,946,408,456,60,0,18,4,36,33,0,24,5,20.8%,14,4,1,19,79.2%,24,21,3,0,39,29,20,7,32,0,946,9,9.5,24,5,20.8%,,,5,14,0,0.0%,7,1,946,5,5.3,0,0,6,6,,,,,,,,,,,,,,,,3,0,0,0,0,0,3,0,0,0,15,3,6,0,6,6,732,3,94,0,0,0,1,946,0,1,0,0,0,1,6,11,11,0,0,,,,,
138,LAMAR,004,4407,9488,372,274,144,77,24,23,2,12221,1738,7739,1878,85,624,157,801,670,6,521,148,28.4%,306,61,6,373,71.6%,521,433,39,49,886,616,482,169,717,80,12221,242,19.8,521,148,28.4%,1,0,50,125,4,3.2%,66,8,12221,173,14.2,91,97,73,98,,,,,,,,,,,,,,,,159,0,91,5,10,4,71,0,7,1,160,124,170,60,98,98,9376,14,1393,8,94,10,7,12221,0,14,0,0,0,14,40,4,3,0,1,,,,,
139,LAMB,001,942,2330,192,147,128,81,0,0,0,3997,2711,1057,169,0,58,2,185,159,2,134,29,21.6%,99,4,2,105,78.4%,134,120,7,7,252,191,179,26,226,3,3997,52,13.0,134,29,21.6%,,,17,56,1,1.8%,80,14,3997,40,10.0,9,20,19,29,,,,,,,,,,,,,,,,30,0,9,3,11,0,10,0,3,0,71,26,39,9,29,28,3108,2,94,0,0,5,0,3997,0,11,0,0,0,11,39,23,23,0,0,,,,,
140,LAMPASAS,007,1635,3829,107,72,40,6,0,0,0,4989,1437,3126,100,37,253,36,298,261,1,215,55,25.6%,150,9,1,160,74.4%,215,176,22,17,327,250,234,57,270,32,4989,73,14.6,215,55,25.6%,,,26,59,5,8.5%,38,3,4989,68,13.6,33,48,20,30,,,,,,,,,,,,,,,,61,0,33,0,10,2,26,0,0,0,48,22,68,33,30,30,3841,4,310,4,48,0,5,4989,0,16,1,0,0,17,92,33,33,0,0,,,,,
141,LA SALLE,008,716,1150,27,26,8,2,,,,,,,,,,,85,72,0,57,13,22.8%,42,1,1,44,77.2%,57,44,8,5,115,88,84,26,89,5,1600,27,16.9,57,13,22.8%,,,13,42,2,4.8%,24,4,1600,21,13.1,5,6,13,12,,,,,,,,,,,,,,,,16,0,5,0,5,3,3,0,0,1,52,4,19,4,12,12,1228,2,99,0,0,1,0,1600,0,2,0,0,0,2,4,1,1,0,0,,,,,
142,LAVACA,008,1507,4579,47,29,10,3,0,0,0,4246,1255,2569,321,17,81,3,148,123,1,100,18,18.0%,77,5,0,82,82.0%,100,87,13,0,157,126,120,24,133,3,4246,27,6.4,100,18,18.0%,,,14,45,4,8.9%,22,7,4246,31,7.3,7,14,17,22,,,,,,,,,,,,,,,,24,0,7,0,2,7,8,0,2,1,48,7,31,7,22,20,3247,7,432,8,94,15,6,4246,0,4,0,0,0,4,13,36,36,0,0,,,,,
143,LEE,007,1447,3151,74,48,19,3,2,1,1,4088,1516,2093,324,14,135,6,197,147,1,114,17,14.9%,94,3,0,97,85.1%,114,107,3,4,161,133,130,12,149,13,4088,24,5.9,114,17,14.9%,,,7,18,2,11.1%,37,11,4088,53,13.0,20,47,8,14,,,,,,,,,,,,,,,,50,0,18,7,11,3,15,0,0,3,30,19,55,24,14,12,3056,7,576,2,24,4,0,4088,0,10,0,0,0,10,32,25,25,0,0,,,,,
144,LEON,007,1233,4425,63,39,22,2,0,2,0,3913,1021,2592,215,21,56,8,192,170,2,126,15,11.9%,102,9,0,111,88.1%,126,122,3,1,217,191,175,7,210,2,3913,22,5.6,126,15,11.9%,1,0,9,25,0,0.0%,51,9,3913,36,9.2,3,15,21,21,,,,,,,,,,,,,,,,22,0,4,0,4,0,15,0,0,1,37,3,36,10,21,21,2976,3,126,2,24,6,1,3913,1,2,0,0,0,3,4,23,23,0,0,,,,,
145,LIBERTY,006,8768,10979,420,318,215,135,3,2,1,20328,5952,11953,1756,79,533,55,919,781,7,673,184,27.3%,412,63,14,489,72.7%,673,547,83,43,1083,761,629,237,846,71,20328,302,14.9,673,184,27.3%,,,136,352,24,6.8%,148,26,20328,261,12.8,94,134,118,151,,,,,,,,,,,,,,,,203,0,93,6,19,22,81,0,3,1,431,69,252,134,151,149,15527,18,1606,2,24,5,2,20328,0,21,0,0,0,21,57,26,26,0,0,,,,,
146,LIMESTONE,007,1914,4534,157,96,73,18,641,590,40,5699,1902,2598,993,17,179,10,268,251,4,207,40,19.3%,160,4,3,167,80.7%,207,183,13,11,342,272,262,43,299,16,5699,61,10.7,207,40,19.3%,,,22,66,5,7.6%,39,4,5699,50,8.8,16,27,20,25,,,,,,,,,,,,,,,,41,0,16,2,10,8,11,0,0,2,70,30,47,23,25,25,4406,5,472,2,24,1,4,5699,0,6,0,0,0,6,10,29,29,0,0,,,,,
147,LIPSCOMB,001,231,570,6,4,2,0,0,0,0,872,402,442,4,4,13,7,30,26,0,11,1,9.1%,9,0,1,10,90.9%,11,11,0,0,21,19,16,0,21,0,872,2,2.3,11,1,9.1%,,,3,8,0,0.0%,0,0,872,1,1.1,0,1,0,0,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,2,0,8,0,1,0,0,0,675,0,0,0,0,2,1,872,0,2,0,0,0,2,4,1,1,0,0,,,,,
148,LIVE OAK,011,857,2451,46,36,18,8,0,0,0,2262,1151,1063,15,7,19,7,144,110,0,89,32,36.0%,50,4,3,57,64.0%,89,57,25,7,175,106,95,68,107,16,2262,60,26.5,89,32,36.0%,,,32,108,7,6.5%,77,21,2262,49,21.7,22,27,24,32,,,,,,,,,,,,,,,,46,0,23,1,4,5,26,0,1,0,148,17,51,11,32,30,1703,3,98,0,0,1,1,2262,0,4,0,0,0,4,9,37,37,0,0,,,,,
149,LLANO,007,1766,6793,150,102,65,16,0,0,0,3139,589,2410,28,20,74,18,231,197,0,172,50,29.1%,118,3,1,122,70.9%,172,145,9,18,292,201,195,49,243,35,3139,82,26.1,172,50,29.1%,,,15,48,8,16.7%,38,12,3139,87,27.7,48,63,20,40,,,,,,,,,,,,,,,,85,0,48,1,8,12,28,0,3,0,60,37,83,33,40,40,2379,7,371,1,12,3,0,3139,0,5,0,0,0,5,9,30,30,0,0,,,,,
150,LOVING,009,8,19,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0,0,0.0%,,,0,0,0,0.0%,0,0,6,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,,,,,
151,LUBBOCK,001,22758,34667,2961,2372,1614,722,541,514,60,74078,33900,30840,6038,1365,1670,265,3583,3166,33,2438,611,25.1%,1627,155,45,1827,74.9%,2438,2017,286,135,4250,3002,2645,890,3360,238,74078,1138,15.4,2438,611,25.1%,2,0,550,1528,149,9.8%,1014,200,74078,1005,13.6,368,431,539,700,,,,,,,,,,,,,,,,829,1,368,33,140,140,243,2,30,8,1691,660,970,487,700,692,58893,111,11735,34,408,66,29,74078,13,221,4,0,1,239,787,1513,354,1022,137,,,,,
