,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other**,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**
188,PRESIDIO,010,497,1546,22,20,18,10,0,0,0,2225,11,187,1978,4,45,38,29,0,28,4,14.3%,21,3,0,24,85.7%,,,,45,39,32,1,44,0,2225,6,2.7,28,4,14.3%,,,4,10,2,20.0%,2,1,9,4.0,3,6,3,7,,,,,,,,,,,,,,,7,0,3,3,1,0,0,0,0,0,7,"$51,388",0,$0.00,9,0,$0.00,12,1643,1,30,0,0,12,1,2225,0,0,0,0,0,0,0,16,0,0,16,,
189,RAINS,004,1006,2667,48,46,29,28,0,0,0,2379,45,1886,371,26,51,116,95,0,74,15,20.3%,54,2,3,59,79.7%,,,,117,92,83,10,107,2,2379,20,8.4,74,15,20.3%,,,8,25,0,0.0%,19,2,14,5.9,1,3,8,9,,,,,,,,,,,,,,,12,0,2,0,4,2,4,0,1,0,9,"$130,180",9,"$16,782.54",11,9,$855.00,28,1684,2,96,1,12,0,0,2379,0,6,0,0,0,6,15,10,0,0,10,,
190,RANDALL,001,8788,16840,315,276,191,165,84,80,18,31669,917,20783,8534,142,1293,1058,888,0,764,191,25.0%,472,85,16,573,75.0%,,,,1147,823,659,265,882,66,31669,304,9.6,764,191,25.0%,,,142,344,17,4.9%,211,53,369,11.7,82,116,224,258,,,,,,,,,,,,,,,293,0,95,20,53,43,112,0,26,2,251,"$3,753,840",147,"$80,107.10",340,60,"$5,551.60",419,24410,44,4475,5,60,56,43,31669,2,93,4,0,0,99,461,71,0,9,80,,
191,REAGAN,009,285,432,9,8,4,2,0,0,0,1015,12,200,790,0,13,24,21,0,11,1,9.1%,9,1,0,10,90.9%,,,,13,12,11,1,12,0,1015,1,1.0,11,1,9.1%,,,1,2,0,0.0%,9,0,1,1.0,0,0,1,0,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,$0,4,"$5,281.38",1,0,$0.00,2,768,2,120,0,0,1,0,1015,0,2,0,0,0,2,5,2,0,0,2,,
192,REAL,008,248,974,21,23,15,12,0,0,0,594,4,322,256,4,8,53,45,0,37,8,21.6%,27,2,0,29,78.4%,,,,51,39,37,13,38,10,594,12,20.2,37,8,21.6%,,,9,18,2,11.1%,4,1,19,32.0,12,11,8,8,,,,,,,,,,,,,,,17,0,12,0,1,3,1,0,0,1,8,"$105,629",0,$0.00,19,4,"$1,343.00",16,433,3,94,0,0,0,0,594,0,2,0,0,0,2,6,7,0,0,7,,
193,RED RIVER,004,1204,2944,93,67,44,39,0,0,0,2721,519,1740,360,18,84,118,90,1,75,29,38.7%,42,4,0,46,61.3%,,,,120,70,64,33,87,9,2721,45,16.5,75,29,38.7%,,,23,62,0,0.0%,23,6,28,10.3,8,11,14,15,,,,,,,,,,,,,,,22,0,11,0,0,5,9,0,1,0,15,"$191,821",12,"$13,695.00",25,9,"$1,241.26",66,2072,1,72,3,36,6,1,2721,0,2,0,0,0,2,3,4,0,0,4,,
194,REEVES,009,1314,1796,62,53,38,33,0,0,0,3106,45,291,2724,3,43,138,100,1,79,18,22.8%,55,4,2,61,77.2%,,,,131,99,90,23,108,4,3106,31,10.0,79,18,22.8%,,,13,48,4,8.3%,72,24,14,4.5,8,2,8,9,,,,,,,,,,,,,,,13,0,8,0,1,0,4,0,0,0,9,"$102,474",1,"$1,023.00",10,1,$158.14,52,2448,3,167,3,36,4,0,3106,0,0,0,0,0,0,0,10,0,0,10,,
195,REFUGIO,011,645,1578,43,34,25,18,0,0,0,1719,98,556,1036,2,27,73,59,0,49,14,28.6%,32,1,2,35,71.4%,,,,82,58,54,25,57,9,1719,21,12.2,49,14,28.6%,,,15,37,1,2.7%,25,6,9,5.2,10,7,2,13,,,,,,,,,,,,,,,7,0,10,0,0,0,2,0,0,1,12,"$63,808",2,"$2,602.10",9,2,$120.88,33,1311,3,119,0,0,1,1,1719,0,3,0,0,0,3,9,5,0,0,5,,
196,ROBERTS,001,59,183,1,1,0,0,0,0,0,243,0,217,25,0,1,5,5,0,3,1,33.3%,1,1,0,2,66.7%,,,,7,3,1,0,7,0,243,1,4.1,3,1,33.3%,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,0,$0.00,0,1,$84.00,0,181,0,0,0,0,1,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0
197,ROBERTSON,007,1208,3084,75,66,54,44,0,0,0,4205,954,1948,1199,11,93,141,122,1,100,23,23.0%,61,16,0,77,77.0%,,,,153,108,80,27,126,10,4205,38,9.0,100,23,23.0%,,,8,24,0,0.0%,34,9,40,9.5,9,26,13,15,,,,,,,,,,,,,,,33,0,13,3,1,2,17,0,0,1,16,"$298,831",9,"$4,611.36",39,3,$674.37,47,3241,3,304,3,36,6,1,4205,0,2,0,0,0,2,4,99,0,0,99,,
198,ROCKWALL,003,4786,9578,94,74,58,41,1,1,0,25692,1602,16883,5751,115,1341,450,383,1,283,56,19.8%,162,58,7,227,80.2%,,,,436,344,231,54,382,19,25692,84,3.3,283,56,19.8%,,,27,67,1,1.5%,68,4,46,1.8,21,26,17,26,,,,,,,,,,,,,,,40,0,20,0,6,4,18,0,5,0,26,"$201,772",52,"$12,610.23",43,2,$395.85,80,18848,24,3469,7,84,21,2,25692,0,26,0,0,0,26,63,103,0,15,118,,
199,RUNNELS,002,882,2165,78,71,57,48,3,1,0,2594,40,1286,1235,9,24,98,71,1,72,25,34.7%,43,4,0,47,65.3%,,,,128,80,73,46,82,20,2594,48,18.5,72,25,34.7%,,,11,27,0,0.0%,54,21,34,13.1,15,18,14,17,,,,,,,,,,,,,,,27,0,15,2,0,4,7,0,1,1,17,"$192,980",2,"$4,524.43",32,0,$0.00,34,1947,5,142,4,48,3,2,2594,0,3,0,0,0,3,5,17,0,0,17,14,3
200,RUSK,004,5338,8251,191,146,88,63,6,4,0,12787,1864,7293,3134,57,439,489,434,5,370,105,28.4%,237,22,6,265,71.6%,,,,585,388,340,102,483,59,12787,178,13.9,370,105,28.4%,,,37,91,6,6.6%,141,23,117,9.1,64,70,42,52,,,,,,,,,,,,,,,108,0,62,3,8,6,42,1,7,3,53,"$401,178",30,"$15,048.41",112,22,"$1,722.01",115,9945,12,911,3,36,7,1,12787,0,22,0,0,0,22,72,59,0,16,75,,
201,SABINE,005,1182,3252,63,50,36,36,1,1,0,2033,172,1642,139,9,71,106,88,2,52,11,21.2%,34,6,1,41,78.8%,,,,81,64,52,10,71,2,2033,13,6.4,52,11,21.2%,,,11,25,0,0.0%,15,4,7,3.4,2,3,4,7,,,,,,,,,,,,,,,7,0,2,0,1,1,4,0,0,0,7,"$30,523",1,$481.84,7,1,$27.00,25,1529,1,100,0,0,0,0,2033,0,0,0,0,0,0,0,6,0,0,6,,
202,SAN AUGUSTINE,005,1000,2265,80,61,53,57,1,1,1,1813,499,1040,233,2,39,86,73,0,68,18,26.5%,43,7,0,50,73.5%,,,,104,73,59,14,90,4,1813,26,14.3,68,18,26.5%,,,6,18,1,5.6%,20,9,13,7.2,5,5,6,7,,,,,,,,,,,,,,,13,0,5,2,1,3,3,0,2,1,7,"$64,462",7,"$1,875.69",11,3,$217.00,21,1381,3,154,0,0,0,0,1813,0,9,0,0,0,9,29,29,0,9,38,,
203,SAN JACINTO,005,3125,5295,202,132,93,81,0,0,0,6431,669,4264,1287,21,190,325,267,2,240,55,22.9%,158,24,3,185,77.1%,,,,396,292,253,53,343,15,6431,99,15.4,240,55,22.9%,,,22,71,8,11.3%,60,18,74,11.5,22,27,39,57,,,,,,,,,,,,,,,58,0,21,2,2,1,35,1,2,0,57,"$611,658",22,"$12,110.75",66,16,"$1,875.93",100,4769,4,188,0,0,3,0,6431,0,8,0,0,0,8,15,61,0,0,61,,
204,SAN PATRICIO,011,5552,9282,326,267,193,157,3,4,1,17941,205,5451,11845,38,402,885,782,9,641,187,29.2%,398,48,8,454,70.8%,,,,1075,725,627,337,738,39,17941,322,17.9,641,187,29.2%,,,213,585,21,3.6%,610,154,137,7.6,60,54,80,77,,,,,,,,,,,,,,,128,0,60,4,23,15,34,0,0,2,77,"$883,148",83,"$76,901.37",134,52,"$9,092.31",585,13885,28,2007,2,24,10,2,17941,0,27,2,0,1,30,200,295,0,4,299,,
205,SAN SABA,007,369,1314,18,16,12,5,0,0,0,1230,5,671,536,7,11,57,46,0,37,10,27.0%,26,1,0,27,73.0%,,,,58,43,40,11,47,1,1230,14,11.4,37,10,27.0%,,,9,30,1,3.3%,17,2,8,6.5,1,2,6,8,,,,,,,,,,,,,,,4,0,1,0,1,0,2,0,0,1,8,"$184,369",12,"$28,717.49",8,4,$909.06,28,927,1,31,1,12,1,2,1230,2,7,1,0,0,10,86,13,0,0,13,,
206,SCHLEICHER,009,265,536,10,6,4,7,0,0,0,1119,12,577,524,0,6,28,27,0,19,7,36.8%,11,1,0,12,63.2%,,,,27,18,17,11,16,4,1119,9,8.0,19,7,36.8%,,,5,11,0,0.0%,431,3,13,11.6,10,4,9,10,,,,,,,,,,,,,,,13,0,10,0,3,0,0,0,1,0,10,"$51,210",0,$0.00,13,0,$0.00,11,891,1,20,1,12,1,0,1119,0,1,0,0,0,1,3,1,0,0,1,,
207,SCURRY,002,1529,2531,88,75,62,47,0,0,0,4385,93,1867,2328,9,88,209,175,0,163,57,35.0%,93,11,2,106,65.0%,,,,273,176,153,47,226,11,4385,91,20.8,163,57,35.0%,,,20,55,0,0.0%,147,32,32,7.3,8,20,12,26,,,,,,,,,,,,,,,27,0,8,2,6,0,12,0,4,0,25,"$286,604",11,"$3,688.58",32,7,$605.24,57,3461,6,470,1,12,5,2,4385,0,8,0,0,0,8,15,85,0,14,99,,
208,SHACKELFORD,002,313,661,21,18,16,12,0,0,0,798,6,657,114,1,20,33,27,0,13,0,0.0%,9,4,0,13,100.0%,,,,17,17,13,0,17,0,798,0,0.0,13,0,0.0%,,,2,4,0,0.0%,10,1,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,0,$0.00,0,0,$0.00,4,609,1,51,0,0,2,0,798,0,3,0,0,0,3,12,0,0,0,0,0,0
209,SHELBY,005,2696,4317,143,134,107,119,2,3,0,6786,1209,3603,1853,15,106,287,228,2,193,49,25.4%,127,16,1,144,74.6%,,,,313,226,198,61,252,26,6786,80,11.8,193,49,25.4%,,,25,70,9,12.9%,34,10,82,12.1,31,25,57,63,,,,,,,,,,,,,,,74,0,32,1,4,1,46,0,1,1,62,"$537,624",34,"$23,487.77",82,8,"$2,025.52",99,5366,3,172,1,12,2,1,6786,1,17,0,0,0,18,72,19,0,0,19,,
210,SHERMAN,001,214,471,0,0,0,1,0,0,0,868,2,350,506,4,6,8,8,0,8,1,12.5%,7,0,0,7,87.5%,,,,15,13,13,2,13,0,868,2,2.3,8,1,12.5%,,,2,3,0,0.0%,4,2,1,1.2,0,0,1,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,"$85,726",0,$0.00,1,0,$0.00,3,645,1,51,0,0,1,1,868,0,0,0,0,0,0,0,6,0,1,7,,
211,SMITH,004,18919,32455,992,769,605,527,37,35,6,55509,10323,26748,15899,167,2372,1780,1461,16,1269,318,25.1%,852,88,11,951,74.9%,,,,1987,1439,1277,355,1632,159,55509,506,9.1,1269,318,25.1%,,,173,443,34,7.7%,245,50,501,9.0,198,268,225,326,,,,,,,,,,,,,,,406,0,199,11,83,65,120,2,14,9,319,"$3,178,896",508,"$507,572.71",493,54,"$8,387.72",502,43350,89,8800,6,72,37,9,55509,10,121,3,0,3,137,573,289,0,0,289,,
212,SOMERVELL,003,488,1448,27,24,12,12,0,0,0,2200,29,1436,657,11,67,77,71,0,59,24,40.7%,26,9,0,35,59.3%,,,,101,59,40,32,69,11,2200,40,18.2,59,24,40.7%,,,12,29,2,6.9%,25,4,19,8.6,13,10,8,14,,,,,,,,,,,,,,,18,0,13,0,0,0,6,0,0,0,12,"$73,427",13,"$8,310.22",18,0,$0.00,32,1574,4,178,1,12,1,3,2200,0,3,0,0,0,3,10,7,0,0,7,,
213,STARR,011,4897,7031,205,157,118,108,4,4,1,20723,2,765,19911,5,40,387,340,6,307,104,33.9%,179,21,3,203,66.1%,,,,527,342,304,164,363,28,20723,168,8.1,307,104,33.9%,,,87,271,19,7.0%,143,30,132,6.4,54,37,85,102,,,,,,,,,,,,,,,101,0,56,0,6,0,53,0,2,0,102,"$1,026,706",28,"$16,844.02",122,36,"$8,675.73",293,15987,38,2284,3,36,4,13,20723,0,8,0,0,0,8,38,127,0,0,127,,
214,STEPHENS,002,844,1842,93,81,62,55,1,2,0,2261,36,1418,759,12,36,86,71,0,61,18,29.5%,35,7,1,43,70.5%,,,,113,86,72,22,91,4,2261,27,11.9,61,18,29.5%,,,17,47,8,17.0%,47,15,20,8.8,12,8,12,15,,,,,,,,,,,,,,,14,0,12,0,0,0,2,0,0,0,15,"$203,669",1,$27.35,20,2,$214.76,47,1745,1,152,1,12,3,3,2261,0,1,0,0,0,1,4,3,0,0,3,,
215,STERLING,009,90,219,3,2,1,0,0,0,0,273,3,155,102,5,8,24,20,0,13,1,7.7%,12,0,0,12,92.3%,,,,19,15,15,4,15,0,273,1,3.7,13,1,7.7%,,,1,4,4,100.0%,1,0,5,18.3,4,4,1,0,,,,,,,,,,,,,,,5,0,4,0,0,1,0,0,0,0,1,$40,0,$0.00,5,0,$0.00,4,218,1,25,1,12,0,0,273,0,2,0,0,0,2,5,2,0,0,2,,
216,STONEWALL,002,131,372,10,8,6,4,0,0,0,320,10,222,74,0,14,18,16,0,13,3,23.1%,9,1,0,10,76.9%,,,,28,18,15,7,21,2,320,6,18.8,13,3,23.1%,,,4,14,0,0.0%,0,0,2,6.3,2,1,1,0,,,,,,,,,,,,,,,2,0,2,0,0,0,1,0,0,0,0,$0,2,"$3,750.00",2,0,$0.00,14,248,0,0,1,12,1,0,320,0,2,0,0,0,2,8,0,0,0,0,0,0
217,SUTTON,009,352,698,19,12,12,14,0,0,0,1111,0,320,784,0,7,34,26,0,26,6,23.1%,19,0,1,20,76.9%,,,,37,30,29,7,30,1,1111,6,5.4,26,6,23.1%,,,6,20,0,0.0%,13,0,9,8.1,1,2,7,5,,,,,,,,,,,,,,,6,0,1,0,1,3,1,0,4,0,4,"$52,909",1,$400.00,9,0,$0.00,25,858,1,43,0,0,1,1,1111,0,5,0,0,0,5,12,5,0,0,5,,
218,SWISHER,001,552,1391,30,25,23,22,0,0,0,2024,123,761,1087,12,41,79,71,1,48,11,22.9%,34,3,0,37,77.1%,,,,86,57,48,25,61,0,2024,28,13.8,48,11,22.9%,,,11,39,2,5.1%,31,9,10,4.9,2,1,9,8,,,,,,,,,,,,,,,5,0,2,0,0,3,0,0,3,0,8,"$146,861",1,$634.29,10,4,$336.00,39,1594,2,200,0,0,1,1,2024,0,8,0,0,0,8,26,4,0,1,5,,
219,TARRANT,003,101418,182040,4542,3522,2464,1647,513,436,60,523735,83750,196516,198373,1859,43237,17373,15353,164,12284,3540,28.8%,6673,1798,273,8744,71.2%,,,,19664,13265,9866,3386,16278,708,523735,5689,10.9,12284,3540,28.8%,,,2051,5551,142,2.6%,4282,930,2227,4.3,838,646,1452,1756,,,,,,,,,,,,,,,1790,15,835,114,236,260,589,6,51,23,1725,"$20,314,061",1073,"$1,298,848.58",2097,370,"$88,283.90",5813,408352,654,73113,109,1306,409,638,523735,28,660,5,0,1,694,2162,1244,758,236,2238,,
220,TAYLOR,002,11790,18404,1145,958,713,563,427,401,67,33119,2700,17223,11373,107,1716,1985,1672,19,1550,494,31.9%,888,150,18,1056,68.1%,,,,2667,1714,1416,584,2083,98,33119,852,25.7,1550,494,31.9%,,,326,822,23,2.8%,646,193,343,10.4,124,153,161,225,,,,,,,,,,,,,,,244,0,122,19,9,13,119,0,14,3,220,"$2,328,728",261,"$329,849.92",314,58,"$9,271.56",939,26537,49,5041,3,36,41,37,33119,9,78,4,0,0,91,329,275,0,120,395,,
221,TERRELL,009,79,247,3,2,2,2,0,0,0,208,0,84,121,1,2,4,3,0,3,1,33.3%,2,0,0,2,66.7%,,,,4,2,2,0,4,0,208,2,9.6,3,1,33.3%,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,3,"$2,019.77",0,0,$0.00,0,169,0,0,0,0,0,0,208,0,0,0,0,0,0,0,1,0,0,1,,
222,TERRY,001,912,1919,145,136,111,113,0,0,0,3355,100,1088,2125,7,35,136,125,1,112,41,36.6%,61,8,2,71,63.4%,,,,193,111,96,72,121,24,3355,77,23.0,112,41,36.6%,,,28,96,7,7.3%,37,10,68,20.3,25,41,26,44,,,,,,,,,,,,,,,51,1,26,0,19,3,5,0,1,1,44,"$606,739",8,"$1,353.00",67,1,$36.48,118,2659,1,100,3,36,2,0,3355,0,2,0,0,0,2,3,47,0,0,47,,
223,THROCKMORTON,002,141,435,6,6,3,4,0,0,0,333,3,266,58,0,6,9,5,0,6,2,33.3%,4,0,0,4,66.7%,,,,13,8,8,0,13,4,333,5,15.0,6,2,33.3%,,,1,3,0,0.0%,3,3,5,15.0,4,4,1,5,,,,,,,,,,,,,,,5,0,4,0,0,0,1,0,0,0,4,"$67,117",1,$787.09,5,0,$0.00,3,245,1,12,0,0,0,0,333,0,0,0,0,0,0,0,0,0,1,1,,
224,TITUS,004,2502,4116,97,84,65,57,8,13,4,10059,791,3279,5719,44,226,274,215,3,187,36,19.3%,135,16,0,151,80.7%,,,,290,222,197,30,260,11,10059,64,6.4,187,36,19.3%,,,18,46,5,10.9%,100,21,56,5.6,16,26,29,37,,,,,,,,,,,,,,,43,0,16,0,4,9,16,0,0,4,37,"$527,087",40,"$22,683.51",55,26,"$2,947.40",50,7830,6,1000,0,0,2,1,10059,0,9,0,0,0,9,13,104,0,0,104,,
225,TOM GREEN,009,8719,16424,1003,813,648,594,887,866,101,26945,840,11680,13489,83,853,1263,1156,13,1034,283,27.4%,680,56,15,751,72.6%,,,,1644,1114,1002,418,1226,138,26945,483,17.9,1034,283,27.4%,,,197,507,42,8.3%,326,76,566,21.0,175,257,285,356,,,,,,,,,,,,,,,427,0,178,17,90,51,112,0,7,0,354,"$4,778,419",239,"$301,551.63",542,42,"$6,220.62",621,21333,53,5378,5,60,31,19,26945,3,28,3,0,0,34,218,295,0,69,364,,
226,TRAVIS,007,67912,85742,3418,2320,1377,1139,1029,944,148,266648,21798,95715,125430,567,23138,10902,9325,87,7283,1726,23.7%,4973,453,131,5557,76.3%,,,,11555,8527,7553,1625,9930,513,266648,2645,9.9,7283,1726,23.7%,,,838,2100,111,5.3%,1753,321,1607,6.0,639,822,718,1014,,,,,,,,,,,,,,,1335,0,629,24,226,188,464,2,20,27,989,"$11,609,248",1218,"$2,143,207.93",1540,209,"$79,594.15",2745,216224,489,46507,54,645,215,161,266648,24,372,6,0,2,404,1220,659,1211,285,2155,,
227,TRINITY,005,1659,3629,181,146,122,117,0,0,0,3016,323,2159,442,17,75,150,116,2,117,30,25.6%,70,17,0,87,74.4%,,,,195,140,106,27,168,8,3016,50,16.6,117,30,25.6%,,,14,44,4,9.1%,15,6,47,15.6,10,30,16,35,,,,,,,,,,,,,,,35,0,11,4,6,1,15,1,1,0,35,"$349,041",24,"$12,775.10",46,12,$937.90,61,2292,5,308,0,0,0,0,3016,0,5,0,0,0,5,21,4,0,19,23,,
228,TYLER,005,2416,4547,111,66,52,43,0,0,0,4207,392,3438,234,25,118,244,197,2,132,27,20.5%,96,8,1,105,79.5%,,,,230,177,158,21,209,16,4207,48,11.4,132,27,20.5%,,,5,11,0,0.0%,41,0,30,7.1,18,12,18,20,,,,,,,,,,,,,,,28,0,18,3,2,3,12,0,4,1,21,"$199,354",10,"$9,206.78",30,6,$434.00,7,3190,7,338,2,24,0,0,4207,0,8,1,0,1,10,78,38,0,1,39,,
229,UPSHUR,004,3738,6960,175,146,94,79,4,4,1,9872,820,7302,1258,52,440,437,384,6,318,73,23.0%,214,30,1,245,77.0%,,,,537,401,340,95,442,57,9872,122,12.4,318,73,23.0%,,,41,90,0,0.0%,124,25,82,8.3,57,48,35,40,,,,,,,,,,,,,,,75,0,58,2,1,4,23,0,3,0,39,"$480,059",33,"$30,914.30",83,30,"$3,092.50",121,7541,5,462,3,36,7,0,9872,0,14,0,0,0,14,60,90,0,0,90,,
230,UPTON,009,283,564,22,20,16,10,0,0,0,945,12,341,575,11,6,40,28,0,21,8,38.1%,9,2,2,13,61.9%,,,,38,20,14,7,31,1,945,17,18.0,21,8,38.1%,,,6,19,3,15.8%,6,2,7,7.4,4,0,7,7,,,,,,,,,,,,,,,5,0,4,0,0,0,1,0,0,0,7,"$70,179",5,"$3,197.50",7,0,$0.00,20,725,1,20,0,0,0,0,945,0,1,0,0,0,1,2,2,0,0,2,,
231,UVALDE,008,1904,4284,116,105,50,41,4,5,0,7708,34,1261,6312,21,80,281,236,3,206,42,20.4%,157,7,0,164,79.6%,,,,337,249,234,72,265,23,7708,72,9.3,206,42,20.4%,,,41,106,1,0.9%,136,37,88,11.4,19,54,34,52,,,,,,,,,,,,,,,69,0,19,1,16,23,15,0,1,7,51,"$742,422",13,"$9,588.04",88,7,$915.43,116,5976,14,965,1,12,1,2,7708,0,13,0,0,0,13,21,82,0,0,82,,
232,VAL VERDE,008,3488,6695,207,205,124,124,7,6,1,15012,134,1614,13074,21,169,297,259,4,241,50,20.7%,178,11,2,191,79.3%,,,,418,328,306,54,364,19,15012,85,5.7,241,50,20.7%,,,27,85,1,1.2%,73,17,57,3.8,23,23,32,38,,,,,,,,,,,,,,,49,0,23,0,7,6,14,0,1,2,40,"$518,992",7,"$10,154.00",55,2,$265.50,104,11762,17,1238,3,36,12,3,15012,1,9,0,0,0,10,25,385,0,16,401,,
233,VAN ZANDT,004,4620,10597,248,199,138,119,5,4,0,12674,352,9733,2140,99,350,588,528,5,389,95,24.4%,269,24,1,294,75.6%,,,,633,476,435,105,528,39,12674,153,12.1,389,95,24.4%,,,49,131,24,18.3%,131,29,152,12.0,70,48,103,118,,,,,,,,,,,,,,,120,0,65,5,21,14,27,0,9,4,120,"$1,452,003",39,"$46,243.82",151,22,"$3,238.38",147,9532,11,1063,5,60,7,2,12674,0,49,0,0,0,49,159,67,0,0,67,,
234,VICTORIA,008,6680,12763,324,297,160,120,15,13,2,23254,1423,7690,13407,43,691,1017,822,10,763,203,26.6%,495,56,9,560,73.4%,,,,1234,870,750,276,958,61,23254,335,14.4,763,203,26.6%,,,127,334,35,10.5%,278,51,252,10.8,88,93,158,181,,,,,,,,,,,,,,,193,0,94,20,27,12,51,1,11,1,182,"$2,395,245",51,"$33,600.30",251,28,"$5,201.56",353,18187,38,3043,20,238,26,13,23254,3,39,2,0,1,45,254,431,0,24,455,,
235,WALKER,006,4255,7639,163,121,96,81,7,7,2,11540,2499,5436,2997,36,572,413,330,3,254,64,25.2%,161,22,7,190,74.8%,,,,381,281,240,88,293,37,11540,91,7.9,254,64,25.2%,,,46,120,8,6.7%,67,4,99,8.6,42,54,40,50,,,,,,,,,,,,,,,76,0,42,2,4,4,29,0,2,4,44,"$634,504",19,"$11,328.80",94,6,$265.90,144,9044,20,1905,0,0,18,3,11540,0,13,1,0,1,15,287,10,0,14,24,,
236,WALLER,006,2580,5485,92,90,65,49,4,5,0,11599,2099,3849,5368,27,256,320,294,1,247,75,30.4%,142,25,5,172,69.6%,,,,414,290,238,104,310,31,11599,108,9.3,247,75,30.4%,,,49,131,14,10.7%,111,28,79,6.8,33,40,33,56,,,,,,,,,,,,,,,75,0,34,1,5,7,42,1,1,2,56,"$445,942",40,"$29,905.00",73,5,$659.97,152,8989,11,818,2,24,6,4,11599,0,19,0,0,0,19,49,20,0,4,24,,
237,WARD,009,882,1701,54,54,49,44,3,3,1,2891,153,964,1705,13,56,134,109,2,89,24,27.0%,60,5,0,65,73.0%,,,,156,116,110,14,142,3,2891,38,13.1,89,24,27.0%,,,11,42,0,0.0%,49,5,6,2.1,3,4,2,4,,,,,,,,,,,,,,,4,0,3,0,1,0,0,0,0,0,4,"$81,399",36,"$20,847.49",6,0,$0.00,43,2259,3,222,0,0,2,0,2891,0,1,0,0,0,1,2,12,0,0,12,,
238,WASHINGTON,007,2343,6770,96,75,34,24,148,136,10,7599,1520,3819,1989,13,258,223,203,4,159,45,28.3%,104,9,1,114,71.7%,,,,252,171,157,42,210,22,7599,69,9.1,159,45,28.3%,,,15,30,0,0.0%,60,10,61,8.0,26,26,32,39,,,,,,,,,,,,,,,56,0,26,5,10,2,15,0,3,1,38,"$461,064",15,"$10,063.25",58,3,"$1,090.08",45,5891,12,1169,4,48,6,5,7599,1,4,1,0,0,6,37,85,0,6,91,,
